,album,artist,name,release_date,popularity,acousticness,danceability,energy,instrumentalness,key,length,liveness,loudness,mode,speechiness,tempo,time_signature,valence,class,feels
1685,Envolver,Anitta,Envolver,2021-11-11,75,-0.034167371418868116,1.0744530125032359,0.285776250306288,-0.12556728946743284,-0.3432833518766878,-0.762115263698907,-0.617308224204684,0.1753280876631003,-1.2186800727216054,-0.16281377480277862,-1.0342090061044946,0.07684638870544681,-0.6142078973629227,0,dance
1686,Super Freaky Girl,Nicki Minaj,Super Freaky Girl,2022-08-12,79,-0.4633732229769187,2.0681906086075754,1.237364942951765,-0.156764269797831,-0.893703683780952,-1.3210632291216253,0.9978967782003756,1.5409694013022786,0.8205599011451459,1.518041485549862,0.4656928282239536,0.07684638870544681,1.6581138662493429,3,driving
1687,Pink Venom,BLACKPINK,Pink Venom,2022-08-19,72,-0.6806740141085946,0.9736390534781578,0.046344256672909756,-0.1569831916357758,-1.4441240156852164,-0.9296184629041294,0.6267559228683307,-0.672277323042141,0.8205599011451459,-0.10099411399082356,-1.1059550479640259,0.07684638870544681,0.9226919001190165,1,positive
1688,Twelve Carat Toothache,Post Malone,I Like You (A Happier Song) (with Doja Cat),2022-06-03,85,-0.18622887311372033,0.5055742437188667,-0.11941635430404374,-0.1569831916357758,-0.06807318592455565,-0.7857434740823364,-0.3975928378481134,-0.11477201797990437,0.8205599011451459,-0.25021398491623237,-0.7061591888150655,0.07684638870544681,-0.2795248469084032,1,positive
1689,=,Ed Sheeran,Shivers,2021-10-29,84,0.598604684021001,0.9016290827459592,1.0409079225346343,-0.1569831916357758,-0.893703683780952,-0.4181472849772343,-0.9810262624300881,1.5059403069134123,0.8205599011451459,-0.13829908172217578,0.7586009807697492,0.07684638870544681,1.2617786749216218,1,positive
1690,Left and Right (Feat. Jung Kook of BTS),Charlie Puth,Left and Right (Feat. Jung Kook of BTS),2022-06-24,81,2.256565573468099,1.5713218105554057,-0.5982803415708002,-0.15681992789222376,-0.893703683780952,-1.7248485321611402,-0.6269578864433171,0.43335930407686146,0.8205599011451459,-0.7053345912387292,-0.7027218147402455,0.07684638870544681,0.808195067068786,1,positive
1691,SOUR,Olivia Rodrigo,good 4 u,2021-05-21,83,0.8634860095539693,-0.7185952587285092,-0.15625204563225578,-0.1569831916357758,1.0327674778839728,-1.1455288869052478,-0.6655565353978498,0.3613276451927141,0.8205599011451459,0.5907465733705358,1.7059997842849117,0.07684638870544681,0.6716796122781264,1,positive
1692,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),2022-09-22,85,-0.05378821034723616,-0.18572147531023928,0.15685133065754586,-0.1569831916357758,-0.893703683780952,-0.35149859206148876,-0.6336384218392939,0.3973434746347876,-1.2186800727216054,-0.5657074263013824,0.789756754298965,0.07684638870544681,-1.001735639994472,0,dance
1693,Boyfriend,Dove Cameron,Boyfriend,2022-02-11,80,0.3582494071484925,-2.2884126206904374,-0.47549470381009346,-0.1569831916357758,0.4823471459797086,-1.7612335276324105,0.1442728109366723,-0.3782302771863064,-1.2186800727216054,-0.4026314245043285,2.175713294828075,-4.625321828298076,-1.3364186904489916,2,study
1694,MIDDLE OF THE NIGHT,Elley Duhé,MIDDLE OF THE NIGHT,2020-01-10,84,-0.6679204688051554,-1.8203478109311468,-0.4816339856981288,-0.1569831916357758,-0.3432833518766878,-0.9912476914379029,-0.4347069233813178,-1.2307693631575856,-1.2186800727216054,-0.552917151650633,2.3934380314395187,-4.625321828298076,-1.9621879203119819,2,study
1695,Enemy (with JID) [from the series Arcane League of Legends],Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,2021-10-28,81,0.38277545580895245,0.46956925835276747,0.5743224990439489,-0.1569831916357758,1.5831878097882373,-1.2622008272959633,1.9257489165304882,0.6672155116870383,-1.2186800727216054,1.7845055407738066,-1.582067925135843,0.07684638870544681,0.08598427398271741,0,dance
1696,Midnights,Taylor Swift,Lavender Haze,2022-10-21,85,0.4857848601828847,0.5055742437188667,-1.5560083161043123,-0.1498960609497677,1.307977643836105,-0.5517874634982259,-0.130371422009041,-2.3250585371647015,0.8205599011451459,-0.19798703009233926,-0.8516625020459915,0.07684638870544681,-1.9282792428317213,2,study
1697,30,Adele,Easy On Me,2021-11-19,80,2.0554519744523265,-0.42335437872649473,-1.9857580482667858,-0.1569831916357758,-0.06807318592455565,-0.005792164700206195,-0.3085190325684225,-0.8597569831515658,0.8205599011451459,-0.7501005525163518,0.7937426455133827,0.07684638870544681,-1.7855985739537419,2,study
1698,Dawn FM,The Weeknd,Sacrifice,2022-01-06,76,-0.6345650426269297,0.5199762378653064,0.6479938817003731,-0.15658987443540046,1.5831878097882373,-0.8817743975266985,-0.7924867079214092,-0.3683629266542312,-1.2186800727216054,0.15374552280326723,0.0630812477583856,0.07684638870544681,1.6272877958127423,0,dance
1699,The Lockdown Sessions,Elton John,Cold Heart - PNAU Remix,2021-10-22,68,-0.6061148261807962,0.9520360622584982,0.6786902911405498,-0.15608647789278174,-1.1689138497330842,-0.5434624981817845,-0.6165659424940199,-0.2682093187536704,0.8205599011451459,-0.7213224345521659,-0.1551554381833504,0.07684638870544681,1.7549958019072303,1,positive
