,album,artist,name,release_date,popularity,acousticness,danceability,energy,instrumentalness,key,length,liveness,loudness,mode,speechiness,tempo,time_signature,valence,class,feels
1328,Sick Boy,The Chainsmokers,Sick Boy,2018-12-14,65,-0.2450913898988244,0.0015044485934771672,-0.6903695698913304,-0.1569831916357758,1.5831878097882373,-0.7769288049237513,-0.4050156549547543,-0.8592636156249619,-1.2186800727216054,-0.4847023535133033,-1.107234921289757,0.07684638870544681,-0.3587918851739471,0,dance
1329,READY,Ella Mai,Boo'd Up,2017-02-22,65,-0.35693017179052217,-0.732997252874948,0.5497653714918076,-0.1569831916357758,1.307977643836105,0.7622838265099413,-0.716773973433672,0.3302454910166776,-1.2186800727216054,-0.4847023535133033,-1.4009109978309902,0.07684638870544681,-1.3232075174047344,0,dance
1330,7 EP,Lil Nas X,Old Town Road - Remix,2019-06-21,75,-0.5183115719763491,1.549718819335746,-0.4325197305938461,-0.1569831916357758,0.2071369800275765,-1.6616767365246143,-0.4569753747012405,0.10675000146517945,0.8205599011451459,0.03650133850473165,0.5765298582322315,0.07684638870544681,0.4558971192219233,1,positive
1331,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,bad guy,2019-03-29,80,0.8291495414293252,0.27514233737583116,-1.623540416872701,1.4509173130431927,0.4823471459797086,-0.7552104395246821,-0.5534719970875722,-2.5599014798280857,0.8205599011451459,2.9462888215502034,0.5431434483353134,0.07684638870544681,0.11681034441931794,3,driving
1332,Shawn Mendes (Deluxe),Shawn Mendes,Señorita,2019-06-19,78,-0.5874750291988465,0.6928001676225832,-0.8684087446443546,-0.1569831916357758,1.0327674778839728,-0.8357177511730919,-0.6811444513217957,-0.13450671904405437,-1.2186800727216054,-0.7415737027491857,-0.1209645364816876,0.07684638870544681,0.9403067975113597,0,dance
1333,"thank u, next",Ariana Grande,7 rings,2019-02-08,82,2.1241249107016147,0.8296191120137606,-2.286582860780517,-0.1569831916357758,-1.1689138497330842,-1.133775994693801,-0.641803520656599,-2.444946846129412,-1.2186800727216054,2.5092877709829353,0.7230570701237423,0.07684638870544681,-0.918064877380842,2,study
1334,Hollywood's Bleeding,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,2019-09-06,79,1.8347175365081867,0.6639961793297038,-1.0280300737332735,-0.1569831916357758,-0.893703683780952,-1.649581051623667,-0.7872907359467605,0.6948440931768484,0.8205599011451459,-0.4378046797938891,-1.1085513624247945,0.07684638870544681,1.7153622827744581,1,positive
1335,Hyperion,Gesaffelstein,Lost in the Fire (feat. The Weeknd),2019-03-08,82,-0.3221031826926689,-0.034500536772622145,-0.1132770724160084,-0.14551762419087266,-0.893703683780952,-0.5591819915145945,-0.4421297404879587,-3.1741440504497542,0.8205599011451459,-0.6637661986237939,-0.7060860531964525,0.07684638870544681,-1.6270644974226534,2,study
1336,Without Me,Halsey,Without Me,2018-10-04,74,0.6770880397344728,0.6423931881100442,-1.236765657926475,-0.15687051491579404,0.2071369800275765,-0.5697840796970036,-0.6009780265700739,-0.6283676131744071,0.8205599011451459,-0.29924337107743815,0.5765298582322315,0.07684638870544681,-0.010897661675169971,2,study
1337,lovely (with Khalid),Billie Eilish,lovely (with Khalid),2018-04-19,86,3.8017066390770817,-2.245206638251118,-2.4155077804292593,-0.1569831916357758,-0.3432833518766878,-0.605899738055095,-0.5905860826207767,-2.1375788770552764,-1.2186800727216054,-0.6957418852506672,-0.1825081595446802,0.07684638870544681,-1.8296358174345997,2,study
1338,A Star Is Born Soundtrack,Lady Gaga,Shallow,2018-10-05,82,1.0400735599092814,-0.6537862850695303,-1.8691116923941142,-0.1569831916357758,0.4823471459797086,-0.22520397117265134,0.4189170438823856,-0.28893075487102776,0.8205599011451459,-0.7223882907730615,-0.8950319238836083,0.07684638870544681,-0.9356797747731851,2,study
1339,Narrated For You,Alec Benjamin,Let Me Down Slowly,2018-11-16,82,2.850095951051232,-0.07770651921194133,-0.8131552076520365,-0.1569831916357758,-1.1689138497330842,-1.3608271811036865,-0.37532438652819067,0.03077140236820166,-1.2186800727216054,-0.7117297285641038,1.0896493584223186,0.07684638870544681,-0.23108387907945946,2,study
1340,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,Someone You Loved,2019-05-17,85,2.904053258104244,-1.16505707726814,-1.7463260546334074,-0.1569831916357758,-1.1689138497330842,-1.047245325787025,-0.5163579115543677,0.04803926579933296,0.8205599011451459,-0.7106638723432082,-0.3797183551351262,0.07684638870544681,-0.39402167995863346,2,study
1341,Lover,Taylor Swift,Lover,2019-08-23,81,1.6336039374924143,-2.1875986616653593,-0.8991051540845313,-0.15678776988213017,0.4823471459797086,-0.08874799555933399,-0.4198612891680361,-0.8908391373276019,0.8205599011451459,-0.07115013980574184,-1.8920532446278155,0.07684638870544681,-0.3631956095220329,2,study
1342,Norman Fucking Rockwell!,Lana Del Rey,Doin' Time,2019-08-30,80,1.201945481068318,-0.1569174870173598,-0.8008766438759658,-0.10726196064493382,0.4823471459797086,-0.5567579574959836,-0.6002357448594099,-2.642293856770912,-1.2186800727216054,-0.6722930483909603,0.9034826412424629,0.07684638870544681,-0.05493490515602787,2,study
1343,ASTROWORLD,Travis Scott,SICKO MODE,2018-08-03,79,-0.7545955247712212,1.2328749481140722,0.248940558978076,-0.1569831916357758,0.7575573119318407,2.1519898749371893,-0.37532438652819067,1.0175064555757005,0.8205599011451459,1.3155288035796644,1.270111497350346,0.07684638870544681,-0.39402167995863346,3,driving
1344,Hollywood's Bleeding,Post Malone,Circles,2019-09-06,83,0.1620410178648122,0.23193635493651196,0.44539757939520686,-0.1268041360094936,-1.4441240156852164,-0.23629576319720416,-0.6551645914485525,1.1245672088487142,0.8205599011451459,-0.629658799555129,-0.008518522863919777,0.07684638870544681,0.07717682528654583,1,positive
1345,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,when the party's over,2019-03-29,80,4.01753586728913,-2.1299906850796004,-3.551274929715796,-0.15649216355857765,-0.3432833518766878,-0.7064849072313928,-0.6299270132859734,-4.09871479530518,0.8205599011451459,-0.014659760098265646,-1.3761545909304282,0.07684638870544681,-1.4861453182839084,2,study
1346,Lover,Taylor Swift,Cruel Summer,2019-08-23,81,-0.2058497120420883,-0.7978062265339267,0.07704066611308645,-0.15672840124811124,1.0327674778839728,-1.1386730331152373,-0.5163579115543677,0.03422497505442818,0.8205599011451459,0.6227222599974092,1.8181166876189203,0.07684638870544681,0.12561779311548904,1,positive
1347,"thank u, next",Ariana Grande,"thank u, next",2019-02-08,79,0.3435337779522165,0.39035829054734894,-0.22378414640064453,-0.1569831916357758,-1.1689138497330842,-0.43119789237036155,-0.5460491799809313,0.07024080449650164,0.8205599011451459,-0.34933861345953965,-0.4866791973569056,0.07684638870544681,-0.5437483077935503,1,positive
1348,MIDDLE CHILD,J. Cole,MIDDLE CHILD,2019-01-23,79,-0.04888300061514415,1.2544779393337318,-1.9980366120428563,-0.1569831916357758,0.7575573119318407,-0.2776022822820178,0.7158297281480216,-2.92894038972769,0.8205599011451459,1.8910911628633844,0.1356317814226622,0.07684638870544681,-0.31915836604117503,3,driving
1349,i am > i was,21 Savage,a lot,2018-12-21,79,-0.5860034662792188,1.2544779393337318,-0.3281519384972453,-0.14152260986001647,-1.1689138497330842,1.5595461667118482,1.2428497427195255,-0.9209345564504305,0.8205599011451459,-0.1340356568385927,0.9396847724559885,0.07684638870544681,-1.1514622678293887,1,positive
1350,Rare,Selena Gomez,Lose You To Love Me,2020-01-10,78,1.9475373603463029,-1.258670039219998,-2.1269615316915984,-0.1569831916357758,-0.3432833518766878,-0.45230412796675123,0.26303788464292654,-1.583033777152662,0.8205599011451459,-0.5859586944984022,-0.6383259025513387,0.07684638870544681,-1.9273984979621042,2,study
1351,Death Race For Love (Bonus Track Version),Juice WRLD,Robbery,2019-03-08,78,0.8291495414293252,-0.28653543433531736,0.015647847232733055,-0.1569831916357758,-0.893703683780952,0.3702024452976588,-0.16006269043560462,0.32284497811762153,0.8205599011451459,-0.5134804714774893,-1.4764600918584074,0.07684638870544681,0.1344252418116606,1,positive
1352,Pray for the Wicked,Panic! At The Disco,High Hopes,2018-06-22,78,0.16694622759690422,-0.6033793055569913,1.3171756074962244,-0.1569831916357758,-0.06807318592455565,-0.8321184279333363,-0.8206934129266445,1.5034734692803937,0.8205599011451459,-0.3919728622953707,-1.3991191751749674,0.07684638870544681,0.6408535418415264,1,positive
1353,Hollywood's Bleeding,Post Malone,Wow.,2019-09-06,79,-0.11265072713234016,1.1968699627479729,-0.9236622816366726,-0.1569611757673271,1.5831878097882373,-1.8458053811706123,-0.5312035457676496,-0.7808181788949659,-1.2186800727216054,1.1663089326542555,-0.7428732693588831,0.07684638870544681,-0.649437692147609,0,dance
1354,Happiness Begins,Jonas Brothers,Sucker,2019-06-07,78,-0.5703067951365245,1.290482924699831,0.27349768653021733,-0.1569831916357758,-1.1689138497330842,-1.0750115336365678,-0.5089350944477269,0.350966927134035,-1.2186800727216054,-0.42394854892224404,0.6466303486729668,0.07684638870544681,1.834262840172774,0,dance
1355,IGOR,"Tyler, The Creator",EARFQUAKE,2019-05-17,78,0.3484389876843085,-0.783404232387487,-1.1753728390461216,-0.15690922821256056,1.0327674778839728,-0.8536653969876552,4.6053858920278525,-1.5243230414868159,0.8205599011451459,-0.3205604954953536,-1.4861139935153473,0.07684638870544681,-0.5393445834454645,2,study
1356,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,Bruises,2019-05-17,78,3.8605691558621853,0.5271772349385263,-2.341836397772835,-0.1569831916357758,-0.3432833518766878,-0.10867894193457898,0.08489027408354505,-1.0131942839253318,0.8205599011451459,-0.3290873452625199,-0.33177795713418545,0.07684638870544681,-0.7683382495459253,2,study
1357,MAP OF THE SOUL : PERSONA,BTS,Boy With Luv (feat. Halsey),2019-04-12,78,-0.3221031826926689,-0.12811349872448036,1.0593257681987402,-0.1569831916357758,1.5831878097882373,0.11856812601216396,0.13684999383003138,0.5009506552215749,-1.2186800727216054,-0.15002350015202923,-0.011992464748045892,0.07684638870544681,1.1781079123079923,0,dance
1358,Heaven & Hell,Ava Max,Sweet but Psycho,2020-09-18,77,-0.4442429050217599,0.4119612817670085,0.10159779366522781,-0.1569831916357758,-1.1689138497330842,-0.9180614522295402,-0.06356606804927285,0.5216720913389323,0.8205599011451459,-0.5465220143252584,0.46540028574950154,0.07684638870544681,0.3722263566082933,1,positive
1359,We Love You Tecca,Lil Tecca,Ransom,2019-08-30,77,-0.6796929721621762,0.5919862085975051,-0.29131624716903326,-0.1569831916357758,0.4823471459797086,-2.29403130788466,-0.807332342134691,-0.23712716457763386,-1.2186800727216054,2.0083353471619194,2.1830634244986995,0.07684638870544681,-1.3628410365375065,3,driving
1360,beerbongs & bentleys,Post Malone,Better Now,2018-04-27,78,0.8438651706256013,0.12392139883821483,-0.684230288003295,-0.1569831916357758,1.307977643836105,0.15512451782818457,-0.2936733983551407,-0.013631675026135713,0.8205599011451459,-0.6243295184506501,0.9055304385636324,0.07684638870544681,-0.8564127365076409,2,study
1361,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),2018-11-30,77,-0.7313448306411051,-0.4449573699461543,0.6418545998123377,-0.15696637052280374,0.4823471459797086,-0.1827711332509074,1.5842993296250067,-0.033366376090285706,-1.2186800727216054,-0.3354824825878944,-0.22704775128010832,0.07684638870544681,-1.2835739982719623,0,dance
1362,boyfriend,Ariana Grande,boyfriend (with Social House),2019-08-02,77,-0.19603929257790434,-1.8923577816633452,0.6479938817003731,-0.1569831916357758,1.307977643836105,-0.9506267577320904,-0.11552578779575919,1.0091192076234368,-1.2186800727216054,3.862925171520572,2.553239358109322,0.07684638870544681,0.7333317531513276,3,driving
1363,Ride It,Regard,Ride It,2019-07-26,77,0.08846287188343203,1.5641208134821858,0.37786547862681813,-0.15618789930923072,0.4823471459797086,-1.648479217978844,-0.5089350944477269,0.7491145211032609,-1.2186800727216054,-0.1191136697460517,-0.0850915155519219,0.07684638870544681,1.5348095845029408,0,dance
1364,Championships,Meek Mill,Going Bad (feat. Drake),2018-11-30,76,0.4906900699149767,1.6289297871411645,-1.1876514028221923,-0.1569831916357758,-0.3432833518766878,-1.0873520704585866,0.5747962031218444,-0.29041085745083906,-1.2186800727216054,-0.0860721268982827,-1.2532501838509753,0.07684638870544681,0.03754330615377372,0,dance
1365,Hollywood's Bleeding,Post Malone,Goodbyes (feat. Young Thug),2019-09-06,77,1.457016387137102,-0.8266102148268063,-0.22378414640064453,-0.1569831916357758,-0.06807318592455565,-1.2261586245141933,-0.5312035457676496,0.9380742837924969,0.8205599011451459,-0.18732846788338148,1.0894665193757858,0.07684638870544681,-1.6402756704669108,1,positive
1366,X 100PRE,Bad Bunny,MIA,2018-12-23,76,-0.7101052725011467,1.1032570007961147,-0.929801563524708,-0.15084843278715449,0.2071369800275765,-0.35659151201978234,-0.560894814194213,-0.2849838146581978,-1.2186800727216054,-0.39303871851626654,-0.8491393232038367,0.07684638870544681,-1.6711017409035114,0,dance
1367,Don't Start Now,Dua Lipa,Don't Start Now,2019-10-31,76,-0.718444129045703,0.9448350651852784,0.6357153179243024,-0.1569831916357758,1.5831878097882373,-1.0195770587059108,-0.5891015191994485,0.6193588616064749,-1.2186800727216054,-0.15322106881471664,0.13405936562247905,0.07684638870544681,0.6232386444491833,0,dance
1368,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,Hold Me While You Wait,2019-05-17,75,1.393248660619906,0.18152937542397293,-0.9789158186289907,-0.1569831916357758,1.5831878097882373,-0.4712066962734946,-0.5571834056408926,0.13289848037517812,0.8205599011451459,-0.6957418852506672,-0.4869717398313582,0.07684638870544681,-1.6446793948149965,2,study
1369,Con Calma,Daddy Yankee,Con Calma,2019-01-24,75,-0.24018618016673238,0.5343782320117462,1.0470472044226695,-0.1569591968128598,0.7575573119318407,-0.7762921899289646,-0.8696840058304744,1.5414627688288822,-1.2186800727216054,-0.41861926781776515,-0.9612196587285383,0.07684638870544681,0.5307604331393817,0,dance
1370,Suncity,Khalid,Better,2018-10-18,75,-0.4045107061918146,-0.4809623553122536,-0.8438516170922132,3.974084258847113,-1.4441240156852164,0.10747633398761115,-0.5237807286610087,-2.2209579890513105,-1.2186800727216054,-0.016791472540057115,-0.8164111338744378,0.07684638870544681,-1.8648656122192862,2,study
1371,"thank u, next",Ariana Grande,"break up with your girlfriend, i'm bored",2019-02-08,75,-0.5732499209757796,0.4551672642063277,-0.8315730533161425,-0.1569831916357758,-0.06807318592455565,-0.8445079351395697,-0.5089350944477269,0.23995923364819158,-1.2186800727216054,-0.0732818522475333,1.818299526665453,0.07684638870544681,-0.8828350825961556,0,dance
1372,Dance Monkey (Stripped Back) / Dance Monkey,Tones And I,Dance Monkey,2019-10-17,75,2.6146458839108155,1.1608649773818736,-0.6228374691229416,-0.1556968712320326,0.2071369800275765,-0.37933825548735306,-0.18975395886216823,-0.30767872088197035,-1.2186800727216054,-0.06582085870126293,-0.8135588447485235,0.07684638870544681,-0.09897214863688576,2,study
1373,Callaita,Bad Bunny,Callaita,2019-05-31,75,2.163366588558351,-0.38014839628717556,-0.40182332115366937,-0.15695697048908408,-0.893703683780952,0.6268807141572328,0.5079908491620763,0.49503024490233016,0.8205599011451459,2.2428237157589908,2.043922910087121,0.07684638870544681,-1.2835739982719623,3,driving
1374,PSYCHODRAMA,Dave,Location (feat. Burna Boy),2019-03-08,75,0.5495525867000808,1.0744530125032359,-1.1876514028221923,-0.1569831916357758,1.0327674778839728,0.4006375390868842,-0.5868746740674563,-0.09503731691575437,-1.2186800727216054,2.1149209692514974,-0.3765003879161464,0.07684638870544681,0.06396565224228845,3,driving
1375,Die A Legend,Polo G,Pop Out (feat. Lil Tjay),2019-06-07,75,-0.043977790883052134,0.7864131295744414,-0.3097340928331393,-0.1569831916357758,-1.1689138497330842,-1.429214322659042,-0.7776410737081274,-0.6624099725100658,0.8205599011451459,3.926876544774319,1.7492960705039156,0.07684638870544681,-1.208710684354504,3,driving
1376,The Best In The World Pack,Drake,Money In The Grave (Drake ft. Rick Ross),2019-06-15,74,-0.28433306775556044,1.2112719568944126,-1.15081571149398,-0.1569831916357758,1.307977643836105,-0.4775728462213616,-0.3901700207414725,0.8542018042698596,-1.2186800727216054,-0.5603781451969035,-0.7216273721517535,0.07684638870544681,-1.9133065800482298,0,dance
1377,"10,000 Hours (with Justin Bieber)",Dan + Shay,"10,000 Hours (with Justin Bieber)",2019-10-04,74,-0.029262161686776103,-0.06330452506550159,-0.36498762982545735,-0.1569831916357758,1.307977643836105,-1.4014726000016062,-0.47182100891452233,0.5586746558342136,0.8205599011451459,-0.7746152455969548,-1.1074177603362898,0.07684638870544681,-0.4644812695280061,1,positive
1378,Lover,Taylor Swift,You Need To Calm Down,2019-08-23,74,-0.7341898522857184,0.7792121325012216,-0.1132770724160084,-0.1569831916357758,-0.893703683780952,-1.311685400544575,-0.8229202580586368,0.07862805244876556,0.8205599011451459,-0.4612535166535962,-1.2889769335435148,0.07684638870544681,0.7861764453283571,1,positive
1379,While We Wait,Kehlani,Nights Like This (feat. Ty Dolla $ign),2019-02-22,74,1.0204527209809133,-0.38014839628717556,0.21824414953789928,-0.1569831916357758,0.7575573119318407,-0.5666744602993917,-0.15263987332896373,0.3184046703781876,0.8205599011451459,0.5481123245347047,0.9466692240335475,0.07684638870544681,-1.0765989539119305,1,positive
1380,7 EP,Lil Nas X,Old Town Road,2019-06-21,73,-0.4962381281819352,1.758547734459122,-0.9789158186289907,-0.15695560995788782,-1.1689138497330842,-2.7406412119196335,-0.5460491799809313,-0.16558887322009042,0.8205599011451459,0.30296539372867604,0.5749574424320478,0.07684638870544681,-0.1253944947254005,1,positive
1381,Dying to Live,Kodak Black,ZEZE (feat. Travis Scott & Offset),2018-12-14,73,-0.5241978236548596,1.4273018690910084,-0.5307482408024116,-0.1569831916357758,0.7575573119318407,0.09374014121548285,-0.6098854070980431,-0.005737794600475716,-1.2186800727216054,0.8252349419676067,-0.8129737597996178,0.07684638870544681,-0.13860566776965788,0,dance
1382,Piece Of Your Heart,MEDUZA,Piece Of Your Heart,2019-02-01,73,-0.5815887775203361,0.10231840761855525,0.33489050541057075,-0.15500423716847858,1.307977643836105,-1.7633637393457353,-0.7464652418602357,-0.5079859366830924,-1.2186800727216054,-0.7362444216447067,0.13914229111609508,0.07684638870544681,0.420667324437237,0,dance
1383,Ivy To Roses (Mixtape),Mabel,Don't Call Me Up,2019-01-18,73,0.6721828300023809,0.08071541639889565,1.1759721240714116,-0.15694596255485976,1.0327674778839728,-1.1373508327414494,-0.7071243111950388,1.4422958959815286,0.8205599011451459,0.5161366379078314,-0.7781977731490499,0.07684638870544681,-1.32761124175282,1,positive
1384,Perfect Ten,Mustard,Pure Water (with Migos),2019-06-28,73,0.073747242687156,0.13832339298465457,-0.8008766438759658,-0.1569831916357758,-1.4441240156852164,-0.7948029951619932,1.2576953769328068,0.11415051436423554,0.8205599011451459,0.30296539372867604,2.9890545094252743,0.07684638870544681,-1.7547725035171413,1,positive
1385,Cuz I Love You (Super Deluxe),Lizzo,Truth Hurts,2019-04-19,73,-0.24018618016673238,0.3759562964009092,-0.40182332115366937,-0.1569831916357758,-0.3432833518766878,-1.2635719980539653,-0.38274720363483156,1.3470759633470053,-1.2186800727216054,0.16440408501222503,1.3827037822053392,0.07684638870544681,-0.5437483077935503,0,dance
1386,Dancing With A Stranger (with Normani),Sam Smith,Dancing With A Stranger (with Normani),2019-01-11,73,1.42758512874455,0.5631822203046256,-1.040308637509344,-0.15695882575889716,0.7575573119318407,-1.3197899991320519,0.35211168992261743,-0.8567967779919432,0.8205599011451459,-0.35147032590133115,-0.6317802646854589,0.07684638870544681,-0.8299903904191264,2,study
1387,Higher Love,Kygo,Higher Love,2019-06-28,73,-0.7056905837422638,0.21753436079007224,-0.07030209919976102,-0.1569125676982241,0.7575573119318407,0.08169342669875002,-0.5460491799809313,-0.6821446735742158,0.8205599011451459,-0.7053345912387292,-0.5968945746069712,0.07684638870544681,-0.5789781025782363,1,positive
1388,Secreto,Anuel AA,Secreto,2019-01-15,72,2.173177008022535,1.0384480271371366,0.6971081368046558,-0.05148018159799423,1.5831878097882373,0.8292997973072945,-0.2862505812484998,0.7994380088168435,0.8205599011451459,0.29230683151971826,-1.034428412960334,0.07684638870544681,0.7509466505436707,1,positive
1389,~how i'm feeling~,Lauv,i'm so tired...,2020-03-06,72,0.06884203295506398,-0.8266102148268063,0.2796369684182527,-0.1569831916357758,1.5831878097882373,-1.5265184760929775,0.15169562804331319,-0.8859054620615644,0.8205599011451459,1.464748674505073,-0.6956276597347673,0.07684638870544681,-0.16502801385817262,3,driving
1390,KILL THIS LOVE,BLACKPINK,Kill This Love,2019-04-05,72,0.8046234927688651,0.7216041559154627,0.893565157221786,-0.12964888305623332,-0.893703683780952,-0.8295719679541895,0.37438014124254015,0.26758781513800156,-1.2186800727216054,0.9851133751019734,0.424188364660973,0.07684638870544681,0.482319465310438,0,dance
1391,Cuz I Love You (Super Deluxe),Lizzo,Good as Hell,2019-04-17,72,0.47597444071870065,0.13832339298465457,1.4092648358167545,-0.1569831916357758,-1.4441240156852164,-1.5963257587905493,1.9851314533836153,1.2809647147821026,-1.2186800727216054,-0.11804781352515603,-0.8883400147805024,0.07684638870544681,-0.0020902129789983907,0,dance
1392,Hoodie SZN,A Boogie Wit da Hoodie,Look Back at It,2018-12-21,72,1.2166611102645934,0.9232320739656188,-0.6289767510109769,-0.1569831916357758,-0.6184935178288199,-1.1136246815895914,-0.19717677596880914,0.3460332518679976,-1.2186800727216054,-0.610473387579005,-0.8855974290825079,0.07684638870544681,0.002313511369087399,0,dance
1393,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,bury a friend,2019-03-29,72,2.850095951051232,1.7441457403126823,-1.844554564841973,1.8467082065026315,0.7575573119318407,-0.7783244608738606,-0.5089350944477269,-4.306422524005359,0.8205599011451459,2.4879706465650195,-0.008372251626693233,0.07684638870544681,-1.49495276698008,2,study
1394,China,Anuel AA,China,2019-07-19,72,-0.3647785073618694,0.8872270885995195,0.7278045462448325,-0.15340870512922022,0.4823471459797086,1.8800573313948419,-0.6855981415857803,1.0234268658949455,0.8205599011451459,-0.11058681997888553,-0.5575841796023856,0.07684638870544681,0.3237853887793496,1,positive
1395,"Don't Forget About Me, Demos",Dominic Fike,3 Nights,2018-10-16,72,0.3141025195596644,1.0960560037228948,-1.0525872012854147,-0.1569831916357758,0.4823471459797086,-1.1572817791166945,-0.5237807286610087,-0.40339202104309774,-1.2186800727216054,-0.09459897666544886,1.1561296357417008,0.07684638870544681,1.5039835140663402,0,dance
1396,Please Me,Cardi B,Please Me,2019-02-15,71,-0.4648447858965463,0.6063882027439448,-0.7333445431075778,-0.1569831916357758,-1.1689138497330842,-0.5886621628116399,-0.6781753244791393,-0.4611160216557364,0.8205599011451459,-0.18732846788338148,0.5016024169630261,0.07684638870544681,0.5043380870508669,1,positive
1397,Here With Me,Marshmello,Here With Me,2019-03-08,71,-0.47416468438752113,0.9232320739656188,-0.7640409525477544,-0.1569831916357758,-0.06807318592455565,-1.6793060748417843,-0.1377942391156819,0.9094589672494795,-1.2186800727216054,-0.5827611258357148,-0.7428367015495764,0.07684638870544681,-1.5610086322013668,0,dance
1398,No.6 Collaborations Project,Ed Sheeran,Beautiful People (feat. Khalid),2019-07-12,71,-0.1715132439174443,-0.16411848409057966,-0.26061983772885655,-0.1569831916357758,-0.06807318592455565,-0.6626808985516467,-0.7011860575097261,-1.1533106614807969,-1.2186800727216054,0.9318205640571845,-0.9981531461281956,0.07684638870544681,0.046350754849945296,0,dance
1399,Hoodie SZN,A Boogie Wit da Hoodie,Swervin (feat. 6ix9ine),2018-12-21,71,-0.7047095417958454,-0.5889773114105515,-0.16853060940832645,-0.1569831916357758,1.0327674778839728,-0.86786680840982,-0.47182100891452233,0.26512097750498287,0.8205599011451459,2.178872342505244,-0.9965441625187057,0.07684638870544681,-0.44686637213566294,3,driving
1400,Calma (Remix),Pedro Capó,Calma - Remix,2018-10-05,71,0.8046234927688651,1.1752669715283133,0.5129296801635956,-0.1569831916357758,1.5831878097882373,0.3249048398993747,-0.23429086150201367,0.7688492221674109,-1.2186800727216054,-0.49216334705957376,0.24222694555137556,0.07684638870544681,0.9931514896883892,0,dance
1401,How Do You Sleep?,Sam Smith,How Do You Sleep?,2019-07-19,70,-0.029262161686776103,-1.3378810070254166,-0.04574497164761966,-0.1569831916357758,-1.1689138497330842,-0.5564641351906974,-0.7293927625149614,0.41707817569893757,-1.2186800727216054,-0.06475500248036713,-0.354998516043871,4.779014605708969,-0.8387978391152979,0,dance
1402,Épico,Lunay,Soltera - Remix,2019-10-25,70,0.9910214625883613,0.9520360622584982,0.5743224990439489,-0.1569831916357758,-0.06807318592455565,1.0076989070002123,1.948017367850411,0.7427007432574122,0.8205599011451459,-0.5902221193819852,-1.0335873533462823,0.07684638870544681,1.1604930149156492,1,positive
1403,A Night At The Opera (Deluxe Remastered Version),Queen,Bohemian Rhapsody - Remastered 2011,1975-11-21,70,0.6329411521456447,-1.9499657582491041,-1.7647439002975136,-0.1569831916357758,-1.4441240156852164,3.168125347385183,0.5079908491620763,-2.064560483117922,-1.2186800727216054,-0.47937307240882443,0.8632946188145196,0.07684638870544681,-1.354033587841335,2,study
1404,Cottonwood,NLE Choppa,Shotta Flow (feat. Blueface) [Remix],2019-12-23,70,-0.6566384864213437,1.6649347725072638,-1.0955621745016622,-0.1569831916357758,-0.893703683780952,-1.1826239529476263,-0.25655931282193617,0.49749708253534886,0.8205599011451459,3.436582683162261,-0.007238649538189211,0.07684638870544681,0.1388289661597464,3,driving
1405,Carte Blanche,DJ Snake,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",2019-07-25,70,-0.009641322758408058,1.290482924699831,0.6848295730285852,-0.15692357563244844,0.7575573119318407,-0.3043645972551662,-0.8192088495053165,0.7940109660242022,-1.2186800727216054,1.3794801768334108,-0.892033363520468,0.07684638870544681,0.3590151835640359,0,dance
1406,Money,Cardi B,Money,2018-10-23,70,-0.7535654307274818,2.0681906086075754,-0.610558905346871,-0.1569831916357758,0.7575573119318407,-1.013774068176509,-0.4792438260211632,-0.3609624137551751,-1.2186800727216054,2.0403110337887926,0.3557334256390339,0.07684638870544681,-1.3936671069741071,3,driving
1407,One Thing Right,Marshmello,One Thing Right,2019-06-21,70,-0.4638637439501279,-0.027299539699402284,-0.39568403926563406,-0.1569831916357758,-0.3432833518766878,-1.0554968355271448,3.0243258483133406,1.7383164119437784,0.8205599011451459,-0.5710367074058613,-1.1786884206748358,0.07684638870544681,-0.4116365773509766,1,positive
1408,Giant (with Rag'n'Bone Man),Calvin Harris,Giant (with Rag'n'Bone Man),2019-01-11,70,-0.7012758949833809,1.0384480271371366,1.2128078153996236,-0.15076185352921023,-1.1689138497330842,0.1041463478610346,-0.6937632404030851,0.7229660421932622,-1.2186800727216054,-0.6658979110655855,0.06362976489798448,0.07684638870544681,0.3105742157350922,0,dance
1409,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,Grace,2019-05-17,69,1.3540069827631698,0.42636327591344825,-0.7640409525477544,-0.1569831916357758,-0.3432833518766878,-0.9616206089882144,-0.07098888515591376,-0.03533984619670048,0.8205599011451459,-0.6936101728088756,-0.5774770678651711,0.07684638870544681,-0.2090652573390305,2,study
